id,name,amount,active,created_at
1,Record1,12.5,true,2023-01-02T12:34:56Z
2,Record2,7.0,false,2022-12-31T08:00:00Z
3,Record3,,1,2021-06-10
4,Record4,100,0,2020-03-01T00:00:00Z
5,Record5,45.75,true,2023-05-15T14:22:33Z
6,Record6,89.25,,2022-08-20T09:15:00Z
7,Record7,2.3,1,2021-11-03T16:45:12Z
8,Record8,567.89,false,2020-02-14T20:30:45Z
9,Record9,34.56,true,2023-03-22T11:20:18Z
10,Record10,,0,2022-07-08T13:55:22Z
11,Record11,123.45,true,2021-09-19T08:42:10Z
12,Record12,456.78,false,2020-04-05T15:17:33Z
13,Record13,789.01,,2023-02-28T10:25:47Z
14,Record14,234.56,1,2022-06-12T18:33:29Z
15,Record15,345.67,true,2021-10-30T07:11:04Z
16,Record16,,0,2020-01-17T21:48:56Z
17,Record17,678.90,false,2023-04-09T12:39:21Z
18,Record18,901.23,1,2022-09-24T14:08:35Z
19,Record19,567.34,,2021-05-06T09:52:14Z
20,Record20,234.12,true,2020-12-25T16:20:40Z
21,Record21,345.89,false,2023-08-11T10:15:25Z
22,Record22,456.23,,2022-03-17T13:42:50Z
23,Record23,789.45,1,2021-07-02T15:33:08Z
24,Record24,123.67,0,2020-09-28T08:19:37Z
25,Record25,234.45,true,2023-11-14T17:26:52Z
26,Record26,345.12,false,2022-05-20T11:14:19Z
27,Record27,456.89,,2021-02-10T14:47:03Z
28,Record28,567.56,1,2020-08-04T09:35:26Z
29,Record29,678.34,true,2023-06-16T16:08:44Z
30,Record30,,0,2022-12-03T13:21:29Z
31,Record31,789.12,false,2021-04-25T10:52:15Z
32,Record32,234.56,true,2020-11-01T18:44:33Z
33,Record33,345.67,,2023-09-30T12:19:47Z
34,Record34,456.78,1,2022-02-14T15:37:22Z
35,Record35,567.89,0,2021-08-22T07:29:10Z
36,Record36,678.90,true,2020-06-09T14:13:42Z
37,Record37,,false,2023-12-05T11:01:15Z
38,Record38,234.12,1,2022-10-18T16:48:38Z
39,Record39,345.23,true,2021-03-08T09:55:24Z
40,Record40,456.34,,2020-07-31T17:22:51Z
41,Record41,567.45,false,2023-04-22T14:33:44Z
42,Record42,678.56,,2022-01-10T11:19:28Z
43,Record43,789.67,true,2021-12-15T16:47:09Z
44,Record44,234.78,0,2020-05-03T09:26:15Z
45,Record45,345.89,true,2023-07-20T13:05:32Z
46,Record46,456.90,,false,2022-11-28T10:40:56Z
47,Record47,567.01,1,2021-01-19T15:12:43Z
48,Record48,678.12,true,2020-10-12T08:33:21Z
49,Record49,,0,2023-03-07T17:49:38Z
50,Record50,234.23,false,2022-04-30T12:14:52Z
51,Record51,345.34,true,2021-06-25T14:27:19Z
52,Record52,456.45,,2020-02-08T11:08:40Z
53,Record53,567.56,1,2023-09-14T16:35:26Z
54,Record54,678.67,0,2022-08-06T09:52:07Z
55,Record55,789.78,,true,2021-10-01T13:16:33Z
56,Record56,234.89,false,2020-12-17T15:44:51Z
57,Record57,345.90,1,2023-05-04T10:29:18Z
58,Record58,456.01,,true,2022-07-19T14:06:29Z
59,Record59,567.12,0,2021-09-11T11:37:45Z
60,Record60,678.23,false,2020-03-26T17:23:14Z
61,Record61,,true,2023-11-20T12:50:35Z
62,Record62,234.34,1,2022-02-03T09:18:48Z
63,Record63,345.45,,0,2021-04-15T16:01:22Z
64,Record64,456.56,true,2020-08-29T13:39:07Z
65,Record65,567.67,false,2023-06-22T15:25:39Z
66,Record66,678.78,,1,2022-09-10T11:52:17Z
67,Record67,789.89,0,2021-12-05T10:14:04Z
68,Record68,234.90,true,2020-01-23T14:47:26Z
69,Record69,,false,2023-08-31T09:33:50Z
70,Record70,345.01,1,2022-06-18T16:20:12Z
71,Record71,456.12,,true,2021-05-27T12:08:35Z
72,Record72,567.23,0,2020-11-14T15:16:43Z
73,Record73,678.34,false,2023-02-19T10:55:21Z
74,Record74,,true,2022-04-07T13:42:38Z
75,Record75,234.45,1,2021-07-30T14:19:09Z
76,Record76,345.56,,0,2020-09-05T11:26:52Z
77,Record77,456.67,true,2023-10-16T15:38:14Z
78,Record78,567.78,false,2022-12-24T09:14:33Z
79,Record79,,1,2021-02-08T16:03:47Z
80,Record80,234.89,true,2020-06-22T12:31:15Z
81,Record81,345.90,0,2023-04-10T14:09:26Z
82,Record82,456.01,,false,2022-05-28T11:37:42Z
83,Record83,567.12,true,2021-08-14T13:18:19Z
84,Record84,678.23,,1,2020-10-03T15:52:01Z
85,Record85,789.34,0,2023-12-11T10:24:34Z
86,Record86,,false,2022-03-25T16:45:53Z
87,Record87,234.45,true,2021-11-09T12:11:17Z
88,Record88,345.56,1,2020-04-18T14:37:39Z
89,Record89,,0,2023-07-05T09:03:28Z
90,Record90,456.67,true,2022-10-02T15:19:44Z
91,Record91,567.78,false,2021-01-30T11:48:12Z
92,Record92,,1,2020-12-07T17:25:35Z
93,Record93,234.89,true,2023-06-13T13:52:21Z
94,Record94,345.90,,0,2022-08-22T10:16:07Z
95,Record95,456.01,false,2021-03-11T14:29:40Z
96,Record96,567.12,1,2020-07-17T12:42:18Z
97,Record97,,true,2023-09-24T15:14:52Z
98,Record98,678.23,0,2022-11-16T09:07:26Z
99,Record99,789.34,false,2021-06-04T16:33:19Z
100,Record100,,1,2020-05-20T11:19:44Z
